ReturnID,OrderID,ReturnDate,ReturnReason
800001,541591,2022-10-19 18:57:57,Changed Mind
800002,549096,2022-02-09 16:15:22,Changed Mind
800003,506069,2023-02-09 22:49:13,defective
800004,524223,2022-12-14 05:47:01,defective
800005,508942,2023-08-16 16:34:04,Wrong Item
800006,501594,2024-04-20 01:14:11,WRONG ITEM
800007,534978,2023-05-11 06:49:35,Changed Mind
800008,536549,2024-04-03 00:19:50,nan
800009,505642,2024-05-19 23:22:09,Wrong Item
800010,509436,2022-06-24 20:06:57,Changed Mind
800011,534693,2023-12-15 08:21:56,Wrong Item
800012,521730,2024-04-04 13:40:10,Wrong Item
800013,510760,2023-11-22 22:36:06,Changed Mind
800014,528814,2022-04-27 07:50:24,Wrong Item
800015,532670,2023-01-31 02:19:58,WRONG ITEM
800016,522565,2024-09-03 06:30:19,Changed Mind
800017,502755,2023-10-13 13:33:20,Defective
800018,519987,2022-09-15 13:49:03,Changed Mind
800019,521863,2024-12-30 06:13:39,WRONG ITEM
800020,533690,2023-06-21 17:11:03,defective
800021,508605,2022-09-22 14:22:50,Changed Mind
800022,507463,2024-06-07 08:09:27,defective
800023,500287,2023-12-08 20:24:30,defective
800024,536392,2023-06-19 07:39:36,defective
800025,500613,2022-06-14 00:55:31,Defective
800026,512859,2023-01-28 18:09:54,defective
800027,516282,2022-04-12 04:23:36,nan
800028,531851,2022-06-05 09:58:16,defective
800029,537916,2024-11-19 04:08:45,Wrong Item
800030,535005,2022-11-10 03:43:52,nan
800031,502384,2022-09-07 10:29:49,defective
800032,514498,2023-11-02 16:59:32,Wrong Item
800033,510678,2022-01-02 23:20:56,Defective
800034,527929,2022-01-07 22:32:19,Defective
800035,511095,2024-04-06 09:15:11,WRONG ITEM
800036,500917,2024-05-25 02:39:29,Wrong Item
800037,516526,2022-01-19 02:56:30,Defective
800038,521013,2022-10-25 02:06:20,defective
800039,528093,2022-11-21 05:25:21,defective
800040,505164,2024-02-26 22:07:07,nan
800041,525672,2022-10-23 20:52:38,Changed Mind
800042,522711,2022-12-17 03:35:23,Changed Mind
800043,532797,2023-01-21 12:06:24,Wrong Item
800044,512520,2024-06-13 04:39:45,nan
800045,548490,2022-10-29 08:21:59,WRONG ITEM
800046,541204,2023-09-20 12:36:59,Wrong Item
800047,537588,2024-04-13 02:31:34,nan
800048,547103,2022-07-11 04:04:24,Defective
