OrderID,OrderDate,CustomerID,ProductID,StoreID,EmployeeID,Quantity,DiscountPercent,TotalAmount
500001,2024-02-19 16:45:25,4280,113,3,1044,-2,0.1,-453.24
500002,2023-04-23 22:03:58,1225,165,1,1039,9,0.1,3920.967
500003,2023-08-22 02:02:22,8538,184,2,1023,7,0.05,11070.1885
500004,2022-02-16 16:59:01,1054,134,3,1025,-1,0.0,-129.67
500005,2023-03-21 16:07:28,8662,131,2,1029,0,1.5,-0.0
500006,2022-10-28 18:35:03,2969,142,1,1037,-1,0.0,-420.71
500007,2022-10-19 22:36:04,6468,161,2,1024,1,0.0,1631.97
500008,2023-02-07 00:31:40,6428,191,3,1048,4,0.1,5728.212
500009,2023-11-25 00:03:18,9206,191,4,1014,7,0.0,11138.19
500010,2022-02-04 02:19:39,4169,190,1,1040,-1,0.05,-1435.1934999999999
500011,2022-12-11 15:20:44,5247,162,1,1030,-4,0.0,-350.12
500012,2022-03-22 07:41:31,9089,115,1,1002,4,1.5,-2184.9
500013,2022-07-23 20:43:57,2270,127,2,1017,2,0.0,2338.0
500014,2024-01-03 07:04:18,8523,142,5,1023,-4,0.0,-1682.84
500015,2024-01-11 12:58:23,6441,164,1,1049,-2,0.1,-1672.38
500016,2023-03-29 22:59:05,581,139,1,1046,8,0.0,3633.04
500017,2022-01-08 16:43:10,1495,101,2,1038,7,0.0,9975.14
500018,2022-07-31 00:10:11,8147,191,2,1050,6,0.0,9547.02
500019,2022-11-03 22:06:28,904,173,1,1025,0,1.5,-0.0
500020,2023-04-08 04:14:32,6715,194,5,1013,-2,0.0,-1570.22
500021,2022-07-09 23:53:27,1905,176,2,1035,5,0.05,5368.735
500022,2022-08-22 21:51:49,2852,109,2,1017,4,0.2,4143.936000000001
500023,2022-06-03 18:02:56,8887,168,1,1022,2,0.0,3339.24
500024,2024-02-05 21:26:10,5965,131,5,1023,5,0.2,3909.2800000000007
500025,2022-09-22 19:03:05,9694,149,3,1006,-4,0.1,-5650.704000000001
500026,2023-03-09 23:07:23,8361,140,3,1015,0,0.0,0.0
500027,2022-09-04 16:58:30,571,103,1,1038,1,1.5,-989.565
500028,2023-01-15 20:15:02,10329,117,5,1006,6,0.0,1237.6200000000001
500029,2022-06-21 08:04:33,9534,134,5,1029,-4,0.0,-518.68
500030,2022-03-04 01:16:22,4166,142,2,1039,3,0.0,1262.1299999999999
500031,2023-10-15 06:01:10,7668,132,1,1012,0,0.0,0.0
500032,2023-03-02 06:47:20,4965,139,3,1040,9,0.0,4087.17
500033,2024-01-08 09:12:23,8145,154,2,9999,-3,0.0,-4991.97
500034,2024-01-11 09:47:33,2660,143,1,1029,-2,0.2,-301.088
500035,2024-04-05 13:39:07,9192,166,2,1024,2,0.2,476.512
500036,2024-04-08 23:42:53,4192,111,1,1007,7,0.0,1382.08
500037,2022-08-14 21:31:21,790,108,2,1034,7,0.0,10218.88
500038,2023-08-18 04:59:29,9591,135,2,1017,7,0.0,7719.74
500039,2022-06-25 18:05:35,4449,127,5,1046,8,0.1,8416.800000000001
500040,2023-02-04 14:07:52,3606,193,4,1025,-1,0.05,-1196.5155
500041,2022-09-06 21:32:10,4690,173,1,1016,8,0.0,13666.88
500042,2022-11-25 11:05:13,397,173,5,1048,2,0.0,3416.72
500043,2023-07-12 06:49:42,1490,117,1,1022,9,0.0,1856.43
500044,2023-04-07 19:07:48,8163,102,5,1019,2,0.0,352.98
500045,2022-12-11 09:35:10,8082,122,3,1039,4,1.5,-3506.5
500046,2023-08-26 03:39:21,7242,161,5,1001,-2,0.0,-3263.94
500047,2024-01-04 02:42:15,10234,181,3,1019,-4,1.5,2315.86
500048,2022-05-05 10:34:48,7584,102,3,1023,3,0.0,529.47
500049,2022-05-07 22:32:42,4603,188,2,1034,2,0.0,3454.78
500050,2022-06-03 10:54:53,5022,190,4,1042,-5,0.05,-7175.9675
500051,31/02/2023,8339,117,1,1024,0,0.0,0.0
500052,31/02/2023,688,167,3,1023,-3,0.0,-2099.37
500053,31/02/2023,6240,122,1,1035,8,0.05,13324.699999999999
500054,31/02/2023,5450,133,2,1008,4,0.0,1165.92
500055,31/02/2023,6055,155,4,1015,-4,0.0,-7164.0
500056,31/02/2023,683,170,2,1036,4,0.0,3890.28
500057,31/02/2023,5523,154,4,1008,1,0.0,1663.99
500058,31/02/2023,8523,142,3,1020,-2,0.05,-799.3489999999999
500059,31/02/2023,9383,140,5,1004,0,0.0,0.0
500060,31/02/2023,3054,176,4,1034,-1,0.1,-1017.234
500061,31/02/2023,3942,117,2,1039,-4,0.0,-825.08
500062,31/02/2023,8150,133,1,1017,9,0.0,2623.32
500063,31/02/2023,4923,139,3,1034,-5,0.05,-2157.1175
500064,31/02/2023,6894,125,4,9999,-2,0.0,-3163.44
500065,31/02/2023,6238,158,3,1013,4,0.0,1835.72
500066,31/02/2023,6494,196,3,1050,-3,0.2,-2687.424
500067,31/02/2023,1263,178,4,1044,-1,0.0,-512.18
500068,31/02/2023,6066,196,1,1009,8,0.0,8958.08
500069,31/02/2023,203,146,3,1039,7,0.05,12651.359
500070,31/02/2023,4310,196,3,1003,2,0.1,2015.568
