ShipmentID,OrderID,ShippingCost,Status
900001,539690,,In Transit
900002,523064,,Returned
900003,532803,,Delivered
900004,502985,,In Transit
900005,516695,,Returned
900006,515502,,In Transit
900007,512482,,Delivered
900008,524974,,Lost
900009,529125,,Delivered
900010,529771,,Lost
900011,502701,,Lost
900012,517650,,Lost
900013,530141,,Returned
900014,535984,,Delivered
900015,505791,,Returned
900016,536482,,Delivered
900017,500873,,In Transit
900018,521168,,Returned
900019,539023,,Returned
900020,504986,,Lost
900021,531301,,Returned
900022,541585,,Returned
900023,538534,,Lost
900024,519010,,In Transit
900025,523367,,Delivered
900026,510889,,Lost
900027,549322,,In Transit
900028,521986,,Lost
900029,532253,,In Transit
900030,520469,,In Transit
900031,524346,,Lost
900032,520759,,Returned
900033,546989,,Returned
900034,528160,,Lost
900035,547566,,In Transit
900036,541298,,Lost
900037,530285,,In Transit
900038,501431,,Delivered
900039,524728,,Returned
900040,501535,,Returned
900041,529744,,Lost
900042,533808,,Lost
900043,532595,,Lost
900044,549279,,Delivered
900045,523185,,Delivered
900046,542974,,Lost
900047,515579,,In Transit
900048,529417,,Lost
900049,504990,,Returned
900050,521460,,In Transit
900051,543525,,In Transit
900052,500787,,Returned
900053,520539,,Lost
900054,515343,,In Transit
900055,504640,,Delivered
900056,520044,,In Transit
900057,539098,,In Transit
900058,516698,,Returned
900059,523821,,Lost
900060,534631,,In Transit
900061,500828,,Returned
900062,538206,,In Transit
900063,524019,,Delivered
900064,530227,,Returned
900065,549059,,Returned
900066,538781,,Delivered
900067,522750,,Returned
900068,503316,,In Transit
900069,547264,,In Transit
900070,515409,,Lost
900071,521139,,Returned
900072,530775,,In Transit
900073,504916,,Returned
900074,540301,,Returned
900075,510869,,In Transit
900076,501636,,Returned
900077,544010,,Lost
900078,518763,,In Transit
900079,509031,,Returned
900080,539243,,Lost
900081,525085,,Lost
900082,548966,,In Transit
900083,546840,,Lost
900084,513686,,Delivered
900085,524486,,In Transit
900086,548356,,Delivered
900087,523524,,Returned
900088,541750,,Delivered
900089,546053,,Returned
900090,519802,,Delivered
900091,538419,,Lost
900092,538125,,Delivered
900093,537056,,Lost
900094,533580,,Delivered
900095,543529,,Lost
900096,531448,,Returned
900097,534018,,Delivered
900098,528313,,In Transit
900099,539686,,Delivered
900100,510657,,Delivered
900101,504384,,In Transit
900102,501317,,Lost
900103,540190,,In Transit
900104,523506,,Delivered
900105,522584,,In Transit
900106,534392,,Returned
900107,503615,,In Transit
900108,524678,,Returned
900109,528523,,Returned
900110,534858,,Returned
900111,541559,,In Transit
900112,527151,,In Transit
900113,546315,,In Transit
900114,543720,,Lost
900115,503954,,Returned
900116,511549,,In Transit
900117,529835,,In Transit
900118,535717,,Delivered
900119,519811,,Lost
900120,533823,,Returned
900121,513062,,Delivered
900122,511772,,Lost
900123,510684,,Lost
900124,540102,,Returned
900125,538361,,Delivered
900126,543323,,Returned
900127,502124,,In Transit
900128,513278,,Lost
900129,548067,,Delivered
900130,519440,,Returned
900131,533863,,In Transit
900132,531621,,In Transit
900133,522308,,Returned
900134,545054,,Delivered
900135,503876,,Delivered
900136,508263,,Delivered
900137,542755,,Lost
900138,505211,,Returned
900139,527655,,Delivered
900140,533547,,Delivered
900141,520616,,In Transit
900142,543803,,Delivered
900143,539905,,Delivered
900144,547226,,Lost
900145,516337,,Delivered
900146,508639,,Returned
900147,523800,,Delivered
900148,503517,,Returned
900149,500282,,Lost
900150,505276,,In Transit
900151,508465,,Delivered
900152,513177,,Returned
900153,535657,,Delivered
900154,509657,,Delivered
900155,549194,,In Transit
900156,528718,,In Transit
900157,514846,,Lost
900158,521189,,In Transit
900159,543989,,Lost
900160,522229,,Delivered
900161,537418,,Returned
900162,500284,,Returned
900163,519226,,In Transit
900164,524973,,Returned
900165,542345,,In Transit
900166,521981,,Returned
900167,508149,,Returned
900168,532598,,Returned
900169,544046,,Returned
900170,518274,,Returned
900171,527073,,Delivered
900172,542426,,In Transit
900173,510627,,Returned
900174,506109,,Delivered
900175,527047,,Delivered
900176,509220,,Lost
900177,506366,,Lost
900178,503605,,Returned
900179,523900,,Delivered
900180,510580,,Returned
900181,547032,,Lost
900182,528828,,Delivered
900183,531492,,In Transit
900184,512098,,Lost
900185,528172,,In Transit
900186,527388,,Delivered
900187,520753,,In Transit
900188,540527,,Delivered
900189,513748,,Lost
900190,529120,,Returned
900191,518591,,Delivered
900192,543784,,Returned
900193,541387,,Lost
900194,521484,,Delivered
900195,507323,,In Transit
900196,507695,,Lost
900197,506909,,Lost
900198,526788,,Delivered
900199,522177,,In Transit
900200,523321,,Lost
900201,539383,,Returned
900202,509316,,Returned
900203,501910,,Returned
900204,548705,,Returned
900205,513553,,Lost
900206,542525,,Delivered
900207,537994,,Returned
900208,527375,,In Transit
900209,514037,,Delivered
900210,537498,,Returned
900211,515930,,In Transit
900212,537427,,Lost
900213,511997,,Returned
900214,529651,,Lost
900215,520827,,Lost
900216,520354,,In Transit
900217,524091,,Returned
900218,500132,,Delivered
900219,529203,,Lost
900220,507753,,Delivered
900221,539559,,In Transit
900222,531439,,Delivered
900223,533335,,In Transit
900224,514140,,Delivered
900225,508702,,Delivered
900226,540759,,Delivered
900227,518358,,In Transit
900228,545842,,Delivered
900229,549587,,Returned
900230,536048,,Returned
900231,513195,,In Transit
900232,512945,,In Transit
900233,502894,,In Transit
900234,527198,,Returned
900235,534051,,Lost
900236,546870,,Returned
900237,520121,,Lost
900238,526905,,Returned
900239,540187,,Returned
900240,528691,,Lost
900241,534114,,Lost
900242,532554,,In Transit
900243,516701,,Delivered
900244,532517,,Returned
900245,516438,,Lost
900246,521719,,Delivered
900247,522901,,Lost
900248,537235,,In Transit
900249,520517,,Delivered
900250,547790,,Lost
900251,515013,,Delivered
900252,500362,,Returned
900253,533045,,Delivered
900254,520561,,In Transit
900255,515476,,Lost
900256,528461,,In Transit
900257,507288,,Returned
900258,525974,,Delivered
900259,533028,,Returned
900260,516771,,Lost
900261,530443,,Lost
900262,534001,,Lost
900263,546302,,Returned
900264,503783,,Returned
900265,526175,,Delivered
900266,508563,,Lost
900267,540463,,Lost
900268,507964,,In Transit
900269,543873,,Delivered
900270,503130,,Returned
900271,542449,,Returned
900272,527842,,Delivered
900273,533307,,Returned
900274,545408,,In Transit
900275,515863,,Delivered
900276,529186,,In Transit
900277,513420,,Returned
900278,525434,,In Transit
900279,514217,,In Transit
900280,511623,,In Transit
900281,546366,,In Transit
900282,502500,,Lost
900283,506176,,In Transit
900284,515689,,Returned
900285,514038,,Returned
900286,527900,,Delivered
900287,525088,,Lost
900288,506950,,Delivered
900289,500408,,Delivered
900290,508111,,Lost
900291,526924,,Lost
900292,508408,,Returned
900293,537841,,Returned
900294,547361,,Delivered
900295,506000,,In Transit
900296,508384,,In Transit
900297,502368,,Lost
900298,525110,,Delivered
900299,518664,,Lost
900300,530898,,Returned
900301,538397,,Returned
900302,533652,,In Transit
900303,522348,,Lost
900304,513348,,In Transit
900305,548678,,Returned
900306,535135,,Lost
900307,545938,,In Transit
900308,527952,,Lost
900309,514890,,Returned
900310,532389,,Delivered
900311,548880,,Returned
900312,513610,,Lost
900313,528909,,Delivered
900314,502605,,Lost
900315,538922,,Lost
900316,528523,,Returned
900317,543186,,Returned
900318,543459,,Returned
900319,503334,,In Transit
900320,508917,,Lost
900321,541604,,Returned
900322,549938,,Lost
900323,517112,,In Transit
900324,514828,,Delivered
900325,509569,,In Transit
900326,523470,,Delivered
900327,541249,,Lost
900328,518161,,Lost
900329,545965,,Returned
900330,519616,,Delivered
900331,506500,,Returned
900332,530438,,Returned
900333,535996,,Delivered
900334,525699,,In Transit
900335,522078,,Lost
900336,527688,,Lost
900337,545626,,In Transit
900338,520119,,Lost
900339,529985,,Lost
900340,525511,,In Transit
900341,502228,,Delivered
900342,510848,,In Transit
900343,543878,,Lost
900344,536913,,Lost
900345,505627,,Delivered
900346,547307,,Delivered
900347,508832,,Lost
900348,519517,,In Transit
900349,510635,,Lost
900350,532177,,Returned
900351,531742,,Returned
900352,500675,,In Transit
900353,510160,,Returned
900354,529539,,Delivered
900355,529143,,Returned
900356,539704,,Lost
900357,500324,,Returned
900358,517937,,Lost
900359,507087,,Lost
900360,544633,,Lost
900361,508615,,Returned
900362,520945,,Returned
900363,510411,,In Transit
900364,513904,,In Transit
900365,535263,,Returned
900366,507219,,In Transit
900367,507862,,Delivered
900368,513843,,Returned
900369,517925,,Delivered
900370,547965,,Returned
900371,534397,,Delivered
900372,504507,,Returned
900373,510810,,Lost
900374,520017,,In Transit
900375,509012,,In Transit
900376,511068,,Lost
900377,523893,,Lost
900378,548841,,In Transit
900379,546359,,In Transit
900380,500387,,Delivered
900381,502055,,In Transit
900382,549692,,Delivered
900383,517918,,In Transit
900384,542562,,In Transit
900385,506934,,Lost
900386,546638,,Lost
900387,529256,,Delivered
900388,505262,,Delivered
900389,540457,,Returned
900390,521455,,Delivered
900391,533601,,In Transit
900392,525649,,Delivered
900393,545296,,In Transit
900394,528125,,Lost
900395,547228,,In Transit
900396,537011,,Lost
900397,508794,,Returned
900398,522635,,In Transit
900399,506221,,Lost
900400,525401,,In Transit
900401,546518,,Returned
900402,530210,,Returned
900403,512660,,Lost
900404,548002,,In Transit
900405,501826,,Lost
900406,531777,,In Transit
900407,508938,,Delivered
900408,502527,,Lost
900409,534707,,Delivered
900410,525744,,Lost
900411,516582,,Delivered
900412,529689,,Lost
900413,505238,,In Transit
900414,534207,,In Transit
900415,517262,,Delivered
900416,515859,,Lost
900417,541174,,Delivered
900418,500441,,Delivered
900419,515845,,In Transit
900420,522335,,In Transit
900421,532384,,Returned
900422,549351,,In Transit
900423,522896,,In Transit
900424,524928,,In Transit
900425,524226,,In Transit
900426,546268,,Lost
900427,520301,,Returned
900428,531062,,Lost
900429,536472,,Returned
900430,543225,,Returned
900431,521846,,In Transit
900432,548771,,In Transit
900433,529312,,Returned
900434,541032,,Lost
900435,517668,,Delivered
900436,535660,,Delivered
900437,517946,,Returned
900438,541581,,Returned
900439,513105,,In Transit
900440,518526,,In Transit
900441,516074,,Returned
900442,535020,,Returned
